dominant_fate_state	velocity_self_transition
embryonic_like_plasticity_basin	0.10388413
tumor_plasticity_basin	0.16928874
tumor_plasticity_basin	0.13053909
embryonic_like_plasticity_basin	0.14508164
senescence_basin	0.12667572
inflammatory_regeneration_bridge	0.09985095
embryonic_like_plasticity_basin	0.25948095
tumor_plasticity_basin	0.20493585
tumor_plasticity_basin	0.18033168
senescence_basin	0.21885447
tumor_plasticity_basin	0.14489737
tumor_plasticity_basin	0.17153658
embryonic_like_plasticity_basin	0.15470366
inflammatory_regeneration_bridge	0.16438833
inflammatory_regeneration_bridge	0.103761554
inflammatory_regeneration_bridge	0.154906
senescence_basin	0.03553331
embryonic_like_plasticity_basin	0.2076296
inflammatory_regeneration_bridge	0.16655375
tumor_plasticity_basin	0.0
senescence_basin	0.13274798
embryonic_like_plasticity_basin	0.19895
inflammatory_regeneration_bridge	0.14775184
tumor_plasticity_basin	0.17622268
tumor_plasticity_basin	0.084726214
senescence_basin	0.17302829
tumor_plasticity_basin	0.13123935
senescence_basin	0.233099
senescence_basin	0.098576844
inflammatory_regeneration_bridge	0.12498039
embryonic_like_plasticity_basin	0.12279704
embryonic_like_plasticity_basin	0.21152644
tumor_plasticity_basin	0.21418078
embryonic_like_plasticity_basin	0.15966614
inflammatory_regeneration_bridge	0.15623848
inflammatory_regeneration_bridge	0.19009233
inflammatory_regeneration_bridge	0.19884959
inflammatory_regeneration_bridge	0.18955123
senescence_basin	0.1999031
inflammatory_regeneration_bridge	0.09169245
embryonic_like_plasticity_basin	0.05501941
tumor_plasticity_basin	0.11608034
tumor_plasticity_basin	0.08577943
inflammatory_regeneration_bridge	0.2069789
embryonic_like_plasticity_basin	0.0
senescence_basin	0.09792948
embryonic_like_plasticity_basin	0.2163572
tumor_plasticity_basin	0.13704908
inflammatory_regeneration_bridge	0.10056946
inflammatory_regeneration_bridge	0.12945819
inflammatory_regeneration_bridge	0.12564999
tumor_plasticity_basin	0.23784457
tumor_plasticity_basin	0.21708165
embryonic_like_plasticity_basin	0.20053737
inflammatory_regeneration_bridge	0.20415206
embryonic_like_plasticity_basin	0.08977553
tumor_plasticity_basin	0.1447967
tumor_plasticity_basin	0.20644905
inflammatory_regeneration_bridge	0.11293897
inflammatory_regeneration_bridge	0.13412684
senescence_basin	0.13019297
inflammatory_regeneration_bridge	0.12921843
inflammatory_regeneration_bridge	0.19471423
tumor_plasticity_basin	0.10401422
tumor_plasticity_basin	0.097135454
senescence_basin	0.17705975
tumor_plasticity_basin	0.2614255
senescence_basin	0.07640377
senescence_basin	0.1842984
tumor_plasticity_basin	0.10241535
tumor_plasticity_basin	0.17834783
embryonic_like_plasticity_basin	0.18232389
senescence_basin	0.09237063
inflammatory_regeneration_bridge	0.14766127
tumor_plasticity_basin	0.20833719
inflammatory_regeneration_bridge	0.15009755
senescence_basin	0.20120329
senescence_basin	0.15585962
tumor_plasticity_basin	0.22811766
senescence_basin	0.117037684
senescence_basin	0.18526205
tumor_plasticity_basin	0.058474153
senescence_basin	0.03289354
senescence_basin	0.053456604
senescence_basin	0.19958991
embryonic_like_plasticity_basin	0.18945387
senescence_basin	0.18056166
tumor_plasticity_basin	0.1807532
inflammatory_regeneration_bridge	0.20400968
tumor_plasticity_basin	0.21930426
inflammatory_regeneration_bridge	0.08414453
senescence_basin	0.24520873
tumor_plasticity_basin	0.23275806
tumor_plasticity_basin	0.16413465
inflammatory_regeneration_bridge	0.21152651
inflammatory_regeneration_bridge	0.0
inflammatory_regeneration_bridge	0.11641151
inflammatory_regeneration_bridge	0.118364245
inflammatory_regeneration_bridge	0.23278745
inflammatory_regeneration_bridge	0.14714882
inflammatory_regeneration_bridge	0.077693224
embryonic_like_plasticity_basin	0.12650582
inflammatory_regeneration_bridge	0.1081571
senescence_basin	0.17640057
senescence_basin	0.17928468
senescence_basin	0.14304245
embryonic_like_plasticity_basin	0.13910085
senescence_basin	0.28005663
inflammatory_regeneration_bridge	0.16250838
inflammatory_regeneration_bridge	0.10034236
embryonic_like_plasticity_basin	0.056922913
inflammatory_regeneration_bridge	0.2161174
senescence_basin	0.17361397
tumor_plasticity_basin	0.04086685
embryonic_like_plasticity_basin	0.1625433
tumor_plasticity_basin	0.07285026
inflammatory_regeneration_bridge	0.24462022
tumor_plasticity_basin	0.09787613
senescence_basin	0.19163898
inflammatory_regeneration_bridge	0.18756385
tumor_plasticity_basin	0.17714795
inflammatory_regeneration_bridge	0.19176207
inflammatory_regeneration_bridge	0.18381481
senescence_basin	0.2011388
senescence_basin	0.22533146
senescence_basin	0.06445634
tumor_plasticity_basin	0.2717734
