latent_regime	bin_left	bin_right	bin_center	component_density	component_mass	weighted_component_density
embryonic_reactivation	0.044027182022102096	0.13083221096028463	0.08742969649119336	0.04841862724731571	0.3883486488197522	0.018803308469202293
embryonic_reactivation	0.13083221096028463	0.21763723989846806	0.17423472542937635	0.03791198768009209	0.3883486488197522	0.014723069189634853
embryonic_reactivation	0.21763723989846806	0.3044422688366515	0.2610397543675598	0.035216706320721	0.3883486488197522	0.013676360315534026
embryonic_reactivation	0.3044422688366515	0.391247297774834	0.34784478330574276	0.023823881932300495	0.3883486488197522	0.009251972358050205
embryonic_reactivation	0.391247297774834	0.47805232671301745	0.43464981224392574	0.022980074104766515	0.3883486488197522	0.008924280728363852
embryonic_reactivation	0.47805232671301745	0.5648573556512009	0.5214548411821092	0.01604128048755275	0.3883486488197522	0.006229609602679766
embryonic_reactivation	0.5648573556512009	0.6516623845893834	0.6082598701202921	0.013181272496993138	0.3883486488197522	0.005118929363932246
embryonic_reactivation	0.6516623845893834	0.7384674135275668	0.6950648990584751	0.010971641711835631	0.3883486488197522	0.0042608222341258
embryonic_reactivation	0.7384674135275668	0.8252724424657503	0.7818699279966586	0.006958427802976526	0.3883486488197522	0.0027022960351957307
embryonic_reactivation	0.8252724424657503	0.9120774714039328	0.8686749569348415	0.005389717918733053	0.3883486488197522	0.002093089671259588
embryonic_reactivation	0.9120774714039328	0.9988825003421162	0.9554799858730245	0.004248221230808442	0.3883486488197522	0.001649790974871843
embryonic_reactivation	0.9988825003421162	1.0856875292802997	1.042285014811208	0.0027418020018564002	0.3883486488197522	0.0010647751027522247
embryonic_reactivation	1.0856875292802997	1.1724925582184822	1.129090043749391	0.0015920653129399937	0.3883486488197522	0.0006182764131130424
embryonic_reactivation	1.1724925582184822	1.2592975871566656	1.215895072687574	0.0011868314528685122	0.3883486488197522	0.0004609043910982701
embryonic_reactivation	1.2592975871566656	1.346102616094849	1.3027001016257573	0.0009511038975905107	0.3883486488197522	0.0003693599135164748
embryonic_reactivation	1.346102616094849	1.4329076450330316	1.3895051305639403	0.0005913463156119253	0.3883486488197522	0.00022964854265242993
embryonic_reactivation	1.4329076450330316	1.519712673971215	1.4763101595021233	0.00023581848786033066	0.3883486488197522	9.157979112727655e-05
embryonic_reactivation	1.519712673971215	1.6065177029093984	1.5631151884403067	0.00022949770314845895	0.3883486488197522	8.912512292494061e-05
embryonic_reactivation	1.6065177029093984	1.693322731847581	1.6499202173784897	0.00012885011340505855	0.3883486488197522	5.0038767441126325e-05
embryonic_reactivation	1.693322731847581	1.7801277607857644	1.7367252463166727	7.003969267980208e-05	0.3883486488197522	2.7199820015951824e-05
embryonic_reactivation	1.7801277607857644	1.8669327897239478	1.8235302752548561	4.9421928203665344e-05	0.3883486488197522	1.9192939039960237e-05
embryonic_reactivation	1.8669327897239478	1.9537378186621304	1.910335304193039	1.3050810109096969e-05	0.3883486488197522	5.068264471870971e-06
embryonic_reactivation	1.9537378186621304	2.040542847600314	1.997140333131222	7.5738948794078245e-06	0.3883486488197522	2.9413118427208683e-06
embryonic_reactivation	2.040542847600314	2.127347876538497	2.0839453620694055	3.222990358750526e-06	0.3883486488197522	1.2516439509798551e-06
embryonic_reactivation	2.127347876538497	2.2141529054766798	2.1707503910075885	1.5939072977065125e-06	0.3883486488197522	6.189917454082666e-07
embryonic_reactivation	2.2141529054766798	2.300957934414863	2.2575554199457715	5.440257683424662e-07	0.3883486488197522	2.1127167205892426e-07
embryonic_reactivation	2.300957934414863	2.3877629633530466	2.344360448883955	9.18139658215863e-08	0.3883486488197522	3.565582956959595e-08
