tumor_like_quartile	differentiation_score
other tumor cells	-0.1281737795582524
top tumor-like quartile	-0.25224657264756567
top tumor-like quartile	-0.29695346031659914
other tumor cells	-0.20123185051812065
other tumor cells	-0.011912216374903556
other tumor cells	-0.1409015890992718
other tumor cells	-0.18478740880518785
other tumor cells	-0.03158248795403376
other tumor cells	-0.2782727229742356
other tumor cells	-0.3028852439221041
other tumor cells	-0.16294614768322604
top tumor-like quartile	-0.1259635054034951
other tumor cells	-0.26665623982747394
other tumor cells	-0.015827589564853223
other tumor cells	0.0873082861488248
top tumor-like quartile	0.13573565895174755
other tumor cells	-0.2898369409419872
other tumor cells	-0.3238497840033637
top tumor-like quartile	-0.13841479943122395
other tumor cells	-0.07468970027970678
other tumor cells	-0.07464364575751031
top tumor-like quartile	-0.2911647985010971
other tumor cells	-0.1964575331888081
other tumor cells	-0.24078027701672214
top tumor-like quartile	0.024301534817542547
other tumor cells	-0.05162286169735003
other tumor cells	-0.015155748084739407
top tumor-like quartile	-0.0505602683550046
other tumor cells	-0.1359661125842436
other tumor cells	-0.08046116652312105
other tumor cells	0.018035547232922222
top tumor-like quartile	-0.3878307107054157
other tumor cells	-0.20434294806586373
other tumor cells	-0.265327035644908
other tumor cells	1.2791570027669272
other tumor cells	-0.3068318779085889
top tumor-like quartile	-0.22952498771526197
other tumor cells	-0.3260309902238257
top tumor-like quartile	-0.32685122077847706
other tumor cells	-0.3052806854248047
other tumor cells	-0.20002946735900126
other tumor cells	-0.15699518462758005
other tumor cells	-0.19939457928692852
top tumor-like quartile	-0.12120030544422292
other tumor cells	-0.0055368417575035744
other tumor cells	-0.2793683181574315
other tumor cells	-0.22621418517312886
other tumor cells	-0.16030271112182992
other tumor cells	0.16507605564447095
other tumor cells	0.10815332554004811
other tumor cells	-0.26509200202094185
other tumor cells	-0.09535094838083526
other tumor cells	-0.2893782486150294
other tumor cells	0.16255003434640392
other tumor cells	0.024059707735791608
other tumor cells	-0.11981102272316262
other tumor cells	-0.1619761519961887
top tumor-like quartile	-0.21570695476767457
top tumor-like quartile	-0.29200697239534357
other tumor cells	-0.3856289004102165
top tumor-like quartile	-0.0013681429403799572
other tumor cells	-0.18575722494243105
other tumor cells	-0.20152351002634308
other tumor cells	-0.2826484868555893
other tumor cells	-0.17096776138117284
top tumor-like quartile	-0.05768414191257809
other tumor cells	-0.3807882379602503
top tumor-like quartile	-0.13862082693311903
other tumor cells	-0.21401916315526137
top tumor-like quartile	0.05398888058132595
other tumor cells	-0.19594413115654463
other tumor cells	-0.22536367251549239
other tumor cells	0.0024825864368014927
other tumor cells	0.04630538563669462
other tumor cells	-0.24153066564489295
top tumor-like quartile	-0.11839771270751953
top tumor-like quartile	0.5720149676005046
top tumor-like quartile	-0.452455261607229
other tumor cells	0.27766957695101513
other tumor cells	-0.1645787674703716
other tumor cells	-0.19037015938464505
other tumor cells	-0.1690563390284409
other tumor cells	-0.1856576940159739
other tumor cells	-0.20787488678355276
top tumor-like quartile	-0.4230470539611063
other tumor cells	-0.2831440442874108
top tumor-like quartile	-0.1223109828101264
other tumor cells	-0.3059012610235332
other tumor cells	-0.07763034473230807
top tumor-like quartile	-0.3354224216790847
other tumor cells	-0.3019872447590769
other tumor cells	-0.22567551224320023
top tumor-like quartile	-0.26812506310733747
other tumor cells	-0.2211361637821904
other tumor cells	-0.3556415887526524
other tumor cells	-0.22245141017584152
top tumor-like quartile	0.398781270156672
other tumor cells	-0.18169484167923164
top tumor-like quartile	-0.27854884553838655
top tumor-like quartile	0.18434302012125653
top tumor-like quartile	0.20209400153454438
other tumor cells	-0.290466237951208
top tumor-like quartile	-0.08304596241609546
other tumor cells	-0.4129772421754437
other tumor cells	-0.21315459263177566
other tumor cells	-0.25750673553090037
other tumor cells	-0.32425159878200954
top tumor-like quartile	-0.1967757616514041
other tumor cells	-0.3134992152084539
other tumor cells	-0.1347087930749964
other tumor cells	-0.29613817473988474
other tumor cells	0.5060083365734713
other tumor cells	-0.21864796862190153
other tumor cells	-0.2130492881492332
top tumor-like quartile	-0.12283053957385784
other tumor cells	-0.35565399829252264
top tumor-like quartile	-0.15096166840306036
other tumor cells	-0.21798279844684365
other tumor cells	-0.254698035157757
other tumor cells	0.5614917307724188
other tumor cells	0.17397084059538664
other tumor cells	-0.3517523165102358
other tumor cells	-0.2346564163396388
other tumor cells	-0.30348198649324015
other tumor cells	-0.25712832698115595
top tumor-like quartile	-0.27053091261121964
other tumor cells	-0.14056029143156828
other tumor cells	0.14007852989950298
other tumor cells	-0.11409428678912881
other tumor cells	0.02271370240199716
other tumor cells	-0.020983204429532276
top tumor-like quartile	-0.3471234757223247
other tumor cells	-0.3167977038724923
other tumor cells	-0.20743235835322626
top tumor-like quartile	-0.2094928879796723
other tumor cells	-0.24762198365764854
top tumor-like quartile	-0.23180344664020303
top tumor-like quartile	-0.33912284285933886
other tumor cells	-0.17900387593257572
other tumor cells	-0.34005840913749036
other tumor cells	-0.2573799792631173
other tumor cells	-0.24033303908359857
top tumor-like quartile	0.038359533121556405
other tumor cells	-0.0066115944473831845
other tumor cells	-0.33313744156448927
top tumor-like quartile	-0.17630853623519707
other tumor cells	-0.1224733164281021
top tumor-like quartile	-0.15760947156835484
top tumor-like quartile	-0.20817975644712092
other tumor cells	-0.25286987681447726
other tumor cells	-0.11928155687120229
other tumor cells	-0.09272080439108388
top tumor-like quartile	-0.26535093048472463
top tumor-like quartile	-0.1728623281290502
top tumor-like quartile	-0.09587348537680543
other tumor cells	-0.07352018650667166
other tumor cells	-0.20529217190212673
other tumor cells	-0.2991261187894845
other tumor cells	-0.2677053286705488
other tumor cells	-0.3445112204846041
top tumor-like quartile	-0.31509307578757956
other tumor cells	-0.1962620535014588
top tumor-like quartile	-0.24964259730445013
top tumor-like quartile	0.06192696241684903
other tumor cells	-0.07997303244508344
other tumor cells	-0.009807000925511511
other tumor cells	0.04047577469437211
other tumor cells	-0.22559794673213251
other tumor cells	-0.2666279121681496
top tumor-like quartile	0.012641515260861214
other tumor cells	-0.23813655052656008
other tumor cells	-0.354207874816141
top tumor-like quartile	-0.38107721305187836
other tumor cells	0.40647635636506263
other tumor cells	-0.2171017211160542
other tumor cells	-0.1937230074847186
other tumor cells	0.27744847462501054
top tumor-like quartile	-0.19473210087528936
top tumor-like quartile	1.4633199079537098
other tumor cells	0.3835005877930441
top tumor-like quartile	0.2257032100065255
other tumor cells	-0.18362993075523848
top tumor-like quartile	-0.24166462745195555
other tumor cells	-0.25188396595142504
other tumor cells	0.17426203209676858
top tumor-like quartile	-0.23826705084906685
top tumor-like quartile	-0.30137203357837816
other tumor cells	-0.2803546528757354
other tumor cells	0.2062392705752526
other tumor cells	-0.31782715408890333
top tumor-like quartile	-0.02311924798989004
other tumor cells	-0.290660669774185
top tumor-like quartile	-0.05291154060834721
other tumor cells	-0.3538783251503368
top tumor-like quartile	0.05286665315981265
other tumor cells	0.23230774608659155
other tumor cells	-0.147826087327651
top tumor-like quartile	-0.22287665178746355
top tumor-like quartile	0.0632206775523998
other tumor cells	-0.31907950507269967
top tumor-like quartile	-0.29873796156895016
other tumor cells	-0.29937094229239003
other tumor cells	0.27486091189914286
other tumor cells	-0.21087394525975356
other tumor cells	-0.11034291614720854
other tumor cells	-0.2874532864417559
other tumor cells	0.3369682688771943
other tumor cells	-0.21424999943485967
other tumor cells	-0.35497413446873793
other tumor cells	0.18203453075738601
other tumor cells	-0.1767544098842291
other tumor cells	-0.12759019121711637
other tumor cells	-0.30168288431049867
other tumor cells	0.5566318770985544
other tumor cells	-0.16227812825897595
other tumor cells	-0.16641640368803048
other tumor cells	0.7795212945820373
