tumor_like_quartile	stemness_score
top tumor-like quartile	1.4556233152266471
other tumor cells	0.6324070845880816
other tumor cells	-0.25549510217482047
other tumor cells	-0.21358678658162394
other tumor cells	1.0878235409336705
other tumor cells	0.3706852832148152
top tumor-like quartile	1.0555473450691468
top tumor-like quartile	1.5805872255756008
top tumor-like quartile	0.9403374348917315
other tumor cells	1.366884539204259
other tumor cells	-0.47379902870424334
other tumor cells	-0.36706382997574344
other tumor cells	-0.24386699738041048
other tumor cells	-0.5326473482193486
other tumor cells	-0.0943221776716171
top tumor-like quartile	0.9541101571052305
other tumor cells	0.855907101784983
top tumor-like quartile	0.7215264997174663
other tumor cells	1.0942347703441497
other tumor cells	1.0219222807115123
top tumor-like quartile	1.2925966439708587
other tumor cells	0.7009975333367625
other tumor cells	-0.07159172046569084
top tumor-like quartile	0.9580019327902025
other tumor cells	-0.49383431096230784
other tumor cells	-0.4818360420965379
other tumor cells	-0.32648541850428425
top tumor-like quartile	1.8836563402606594
other tumor cells	-0.4881857595136089
top tumor-like quartile	1.1770190808080858
top tumor-like quartile	1.1938621613287157
top tumor-like quartile	1.5319656210560952
other tumor cells	0.5455106304537866
top tumor-like quartile	1.0524917417956936
other tumor cells	-0.38704739847490865
other tumor cells	-0.37841889166062875
other tumor cells	-0.1807685052194903
other tumor cells	-0.4415282280214371
top tumor-like quartile	1.1489613517638175
other tumor cells	-0.19820778216085128
other tumor cells	0.2080664173249276
other tumor cells	-0.4003769971670643
other tumor cells	0.4065610497228561
other tumor cells	0.23705618227681807
other tumor cells	0.42496806383132935
top tumor-like quartile	-0.1980804281850015
other tumor cells	0.7296059631532238
top tumor-like quartile	1.4337863229936167
other tumor cells	0.9285811608837496
other tumor cells	-0.23139453703357327
other tumor cells	0.5363931271337694
other tumor cells	-0.1050125850785163
other tumor cells	0.6124281921694356
other tumor cells	0.10508694283423886
other tumor cells	1.1326260682075255
other tumor cells	-0.39459130071824594
top tumor-like quartile	1.262354773859824
other tumor cells	-0.20467079839398783
other tumor cells	-0.2777529685728012
other tumor cells	0.8020970167652253
other tumor cells	-0.36256319476712134
other tumor cells	0.6473017930984497
